seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender
5018665,2020016402153197,Panvel,181.0,8.23,Successful ,2020,124,M
5018666,2019016402189454,Panvel,175.0,7.95,Successful ,2019,124,M
5018667,2019016402189462,Panvel,159.0,7.23,Successful ,2019,124,M
5018668,2019016402189582,Panvel,184.0,8.36,Successful ,2019,124,F
5018669,2020016402148873,Panvel,170.0,7.73,Successful ,2020,124,M
5018670,2018016401934337,Panvel,162.0,7.36,Successful ,2018,124,F
5018671,2018016401931343,Panvel,0.0,0.0,Unsuccessful ,2018,124,M
5018672,2019016402466025,Panvel,150.0,6.82,Successful ,2019,124,M
5018673,2020016402150222,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018674,2020016402149412,Panvel,166.0,7.55,Successful ,2020,124,F
5018675,2020016402149563,Panvel,172.0,7.82,Successful ,2020,124,F
5018676,2019016402189721,Panvel,158.0,7.18,Successful ,2019,124,M
5018677,2019016402188934,Panvel,151.0,6.86,Successful ,2019,124,M
5018678,2019016402189326,Panvel,181.0,8.23,Successful ,2019,124,F
5018679,2019016402189574,Panvel,160.0,7.27,Successful ,2019,124,M
5018680,2019016402188942,Panvel,172.0,7.82,Successful ,2019,124,F
5018681,2019016402189253,Panvel,173.0,7.86,Successful ,2019,124,M
5018682,2019016402188331,Panvel,169.0,7.68,Successful ,2019,124,M
5018683,2020016402152975,Panvel,152.0,6.91,Successful ,2020,124,M
5018684,2019016402189485,Panvel,169.0,7.68,Successful ,2019,124,M
5018685,2018016402490301,Panvel,157.0,7.14,Successful ,2018,124,M
5018686,2019016402188516,Panvel,167.0,7.59,Successful ,2019,124,F
5018687,2019016402188845,Panvel,175.0,7.95,Successful ,2019,124,F
5018688,2019016402189117,Panvel,186.0,8.45,Successful ,2019,124,M
5018689,2019016402188806,Panvel,146.0,6.64,Successful ,2019,124,F
5018690,2019016402188691,Panvel,178.0,8.09,Successful ,2019,124,M
5018691,2019016402188675,Panvel,171.0,7.77,Successful ,2019,124,M
5018692,2019016402189214,Panvel,131.0,5.95,Successful ,2019,124,M
5018693,2020016402153007,Panvel,149.0,6.77,Successful ,2020,124,M
5018694,2020016402152693,Panvel,148.0,6.73,Successful ,2020,124,F
5018695,2020016402154177,Panvel,168.0,7.64,Successful ,2020,124,M
5018696,2019016402189671,Panvel,158.0,7.18,Successful ,2019,124,M
5018697,2019016402188652,Panvel,158.0,7.18,Successful ,2019,124,M
5018698,2018016401932965,Panvel,185.0,8.41,Successful ,2018,124,M
5018699,2020016402152364,Panvel,140.0,6.36,Successful ,2020,124,F
5018700,2019016402188474,Panvel,182.0,8.27,Successful ,2019,124,M
5018701,2020016402148455,Panvel,172.0,7.82,Successful ,2020,124,F
5018702,2019016402189091,Panvel,178.0,8.09,Successful ,2019,124,M
5018703,2020016402149114,Panvel,172.0,7.82,Successful ,2020,124,F
5018704,2020016402148784,Panvel,142.0,6.45,Successful ,2020,124,F
5018705,2019016402188307,Panvel,157.0,7.14,Successful ,2019,124,M
5018706,2020016402149451,Panvel,180.0,8.18,Successful ,2020,124,F
5015368,2020016401967055,Mumbai,150.0,6.82,Successful ,2020,126,M
5015369,2019016402292047,Mumbai,132.0,6.0,Successful ,2019,126,M
5015370,2020016401958281,Mumbai,151.0,6.86,Successful ,2020,126,M
5015371,2019016401749846,Mumbai,190.0,8.64,Successful ,2019,126,F
5015372,2019016401748994,Mumbai,154.0,7.0,Successful ,2019,126,F
5015373,2019016401751876,Mumbai,190.0,8.64,Successful ,2019,126,F
5015374,2019016401751377,Mumbai,0.0,0.0,Unsuccessful ,2019,126,M
5015375,2020016401967032,Mumbai,177.0,8.05,Successful ,2020,126,M
5015376,2019016401751025,Mumbai,156.0,7.09,Successful ,2019,126,F
5015377,2019016401751176,Mumbai,188.0,8.55,Successful ,2019,126,M
5015378,2019016401749467,Mumbai,176.0,8.0,Successful ,2019,126,M
5015379,2019016401751281,Mumbai,199.0,9.05,Successful ,2019,126,F
5015380,2019016402292094,Mumbai,188.0,8.55,Successful ,2019,126,F
5015381,2019016401750722,Mumbai,190.0,8.64,Successful ,2019,126,F
5015382,2019016401750896,Mumbai,193.0,8.77,Successful ,2019,126,M
5015383,2019016401749363,Mumbai,180.0,8.18,Successful ,2019,126,M
5015384,2019016401750625,Mumbai,0.0,0.0,Unsuccessful ,2019,126,M
5015385,2019016401750745,Mumbai,179.0,8.14,Successful ,2019,126,M
5015386,2019016401749371,Mumbai,163.0,7.41,Successful ,2019,126,F
5015387,2019016401750254,Mumbai,191.0,8.68,Successful ,2019,126,F
5015388,2019016401749073,Mumbai,177.0,8.05,Successful ,2019,126,M
5015389,2019016401750907,Mumbai,154.0,7.0,Successful ,2019,126,M
5015390,2019016401749185,Mumbai,174.0,7.91,Successful ,2019,126,M
5015391,2020016401966802,Mumbai,191.0,8.68,Successful ,2020,126,M
5015392,2019016401749796,Mumbai,193.0,8.77,Successful ,2019,126,F
5015393,2019016401750165,Mumbai,0.0,0.0,Unsuccessful ,2019,126,M
5015394,2019016401750207,Mumbai,193.0,8.77,Successful ,2019,126,M
5015395,2019016401751756,Mumbai,174.0,7.91,Successful ,2019,126,F
5015396,2019016401751822,Mumbai,171.0,7.77,Successful ,2019,126,F
5015397,2019016401752005,Mumbai,192.0,8.73,Successful ,2019,126,F
5015398,2019016401750706,Mumbai,180.0,8.18,Successful ,2019,126,M
5015399,2019016402292063,Mumbai,181.0,8.23,Successful ,2019,126,M
5015400,2019016401750231,Mumbai,171.0,7.77,Successful ,2019,126,M
5015401,2019016401750664,Mumbai,0.0,0.0,RR ,2019,126,F
5015402,2019016401749107,Mumbai,181.0,8.23,Successful ,2019,126,F
5015403,2019016401751482,Mumbai,172.0,7.82,Successful ,2019,126,M
5015404,2019016401751346,Mumbai,166.0,7.55,Successful ,2019,126,M
5015405,2019016402292442,Mumbai,0.0,0.0,Unsuccessful ,2019,126,M
5015406,2019016401751153,Mumbai,195.0,8.86,Successful ,2019,126,F
5015407,2019016401751265,Mumbai,168.0,7.64,Successful ,2019,126,M
5015408,2019016401751184,Mumbai,199.0,9.05,Successful ,2019,126,M
5015409,2019016401751033,Mumbai,165.0,7.5,Successful ,2019,126,M
5015410,2019016401751702,Mumbai,181.0,8.23,Successful ,2019,126,M
5015411,2019016401751296,Mumbai,177.0,8.05,Successful ,2019,126,M
5015412,2019016401751161,Mumbai,178.0,8.09,Successful ,2019,126,M
5015413,2019016401751211,Mumbai,147.0,6.68,Successful ,2019,126,M
5015414,2019016401751257,Mumbai,161.0,7.32,Successful ,2019,126,M
5015415,2019016401749676,Mumbai,205.0,9.32,Successful ,2019,126,M
